QID	Peptide	Unmod Peptide	References	Alignment Score	Min E-Value	Query Start	Query End	Num Identical
16431			[('##tr_E9PFC1_E9PFC1_HUMAN', 1380, 1388), ('##sp_Q9Y4F5-3_C170B_HUMAN', 1415, 1423), ('##gi_326319990_ref_NP_055820.2_', 1415, 1423), ('##sp_Q9Y4F5-2_C170B_HUMAN', 1380, 1388), ('##gi_163644261_ref_NP_001106197.1_', 1380, 1388), ('##sp_Q9Y4F5_C170B_HUMAN', 1415, 1423), ('##tr_J3KQR7_J3KQR7_HUMAN', 1416, 1424)]	108	0.039	8	16	9
53			[('##tr_Q5JX01_Q5JX01_HUMAN', 28, 32), ('tr_E9PNR0_E9PNR0_HUMAN', 61, 65), ('##tr_J3KS15_J3KS15_HUMAN', 100, 104), ('##sp_Q14197_ICT1_HUMAN', 114, 118), ('##gi_4557657_ref_NP_001536.1_', 114, 118), ('##sp_Q5JT82_KLF17_HUMAN', 307, 311), ('##gi_104294874_ref_NP_775755.3_', 307, 311), ('##sp_Q8IX90_SKA3_HUMAN', 10, 14), ('##gi_260763910_ref_NP_659498.4_', 10, 14), ('##tr_Q675N4_Q675N4_HUMAN', 122, 126), ('sp_P04181_OAT_HUMAN', 88, 92), ('gi_4557809_ref_NP_000265.1_', 88, 92), ('##sp_Q96SZ6-2_CK5P1_HUMAN', 283, 287), ('##gi_28872784_ref_NP_057166.3_', 283, 287), ('##sp_Q92674-2_CENPI_HUMAN', 475, 479), ('##sp_Q96SZ6-3_CK5P1_HUMAN', 283, 287), ('##gi_28872782_ref_NP_057492.2_', 283, 287), ('##sp_Q96SZ6_CK5P1_HUMAN', 283, 287), ('##tr_J3KMW4_J3KMW4_HUMAN', 695, 699), ('##sp_Q92674_CENPI_HUMAN', 709, 713), ('##gi_41352697_ref_NP_006724.2_', 709, 713), ('##tr_B4E3Q1_B4E3Q1_HUMAN', 869, 873), ('##sp_O94985-2_CSTN1_HUMAN', 888, 892), ('##gi_57242755_ref_NP_055759.3_', 888, 892), ('##sp_O94985_CSTN1_HUMAN', 888, 892), ('##gi_57242757_ref_NP_001009566.1_', 888, 892), ('##tr_F8WCN8_F8WCN8_HUMAN', 913, 917), ('sp_P46100-6_ATRX_HUMAN', 794, 798), ('sp_Q86UU0-3_BCL9L_HUMAN', 61, 65), ('sp_Q86UU0-4_BCL9L_HUMAN', 61, 65), ('sp_Q86UU0-2_BCL9L_HUMAN', 56, 60), ('sp_Q86UU0_BCL9L_HUMAN', 61, 65), ('gi_32698936_ref_NP_872363.1_', 61, 65), ('##tr_A7E2D7_A7E2D7_HUMAN', 1659, 1663), ('sp_Q9HCM1_K1551_HUMAN', 853, 857), ('gi_256773222_ref_NP_060639.3_', 853, 857), ('sp_P46100-2_ATRX_HUMAN', 658, 662), ('sp_P46100-5_ATRX_HUMAN', 707, 711), ('sp_P46100-3_ATRX_HUMAN', 745, 749), ('sp_P46100-4_ATRX_HUMAN', 824, 828), ('gi_20336205_ref_NP_612114.1_', 824, 828), ('sp_P46100_ATRX_HUMAN', 862, 866), ('gi_20336209_ref_NP_000480.2_', 862, 866), ('sp_Q9BXT5_TEX15_HUMAN', 2604, 2608), ('gi_133778961_ref_NP_112561.2_', 2604, 2608), ('##sp_Q96L91-4_EP400_HUMAN', 2970, 2974), ('##sp_Q96L91-3_EP400_HUMAN', 3014, 3018), ('##sp_Q96L91-5_EP400_HUMAN', 3050, 3054), ('##sp_Q96L91-2_EP400_HUMAN', 3051, 3055), ('##gi_331284125_ref_NP_056224.3_', 3051, 3055), ('##sp_Q96L91_EP400_HUMAN', 3087, 3091)]	60	12.0	3	7	5
16438			[('sp_Q9H8L6_MMRN2_HUMAN', 182, 190), ('gi_221316695_ref_NP_079032.2_', 182, 190)]	96	0.26	2	11	9
16393			[('tr_Q5T6W1_Q5T6W1_HUMAN', 139, 150), ('tr_Q5T6W2_Q5T6W2_HUMAN', 184, 195), ('tr_Q5T6W5_Q5T6W5_HUMAN', 173, 184), ('sp_P61978-3_HNRPK_HUMAN', 184, 195), ('sp_P61978_HNRPK_HUMAN', 208, 219), ('gi_14165435_ref_NP_112552.1_', 208, 219), ('sp_P61978-2_HNRPK_HUMAN', 208, 219), ('gi_14165437_ref_NP_112553.1_', 208, 219), ('gi_14165439_ref_NP_002131.2_', 208, 219)]	144	2.6e-07	1	12	12
56			[('tr_B3KM87_B3KM87_HUMAN', 280, 292), ('sp_P43243-2_MATR3_HUMAN', 330, 342), ('gi_303227928_ref_NP_001181885.1_', 330, 342), ('tr_D6REM6_D6REM6_HUMAN', 618, 630), ('sp_P43243_MATR3_HUMAN', 618, 630), ('gi_62750354_ref_NP_954659.1_', 618, 630), ('gi_21626466_ref_NP_061322.2_', 618, 630), ('gi_303227924_ref_NP_001181883.1_', 618, 630), ('gi_303227926_ref_NP_001181884.1_', 618, 630), ('tr_A8MXP9_A8MXP9_HUMAN', 618, 630)]	156	9.2e-08	1	13	13
8249			[('##tr_C9JUX7_C9JUX7_HUMAN', 24, 29), ('##sp_P15086_CBPB1_HUMAN', 204, 209), ('##gi_54607080_ref_NP_001862.2_', 204, 209), ('sp_Q9HA77_SYCM_HUMAN', 193, 198), ('gi_13375695_ref_NP_078813.1_', 193, 198), ('sp_Q8N9V7_TOPZ1_HUMAN', 1159, 1164), ('gi_222537754_ref_NP_001138502.1_', 1159, 1164), ('##sp_Q9UPS6_SET1B_HUMAN', 1826, 1833), ('##gi_210032580_ref_NP_055863.1_', 1826, 1833)]	72	2.3	3	8	6
8250			[('sp_Q15269_PWP2_HUMAN', 396, 402), ('gi_48762926_ref_NP_005040.2_', 396, 402), ('sp_Q7Z443_PK1L3_HUMAN', 725, 731), ('gi_31559825_ref_NP_853514.1_', 725, 731)]	84	4.7	7	13	7
17759			[('sp_O00273-2_DFFA_HUMAN', 214, 227), ('gi_47132600_ref_NP_998731.1_', 214, 227), ('sp_O00273_DFFA_HUMAN', 214, 227), ('gi_4758148_ref_NP_004392.1_', 214, 227)]	168	3.9e-08	1	14	14
8253			[('sp_Q14204_DYHC1_HUMAN', 1993, 2004), ('gi_33350932_ref_NP_001367.2_', 1993, 2004)]	144	2.8e-06	1	12	12
8255			[('tr_Q5T7C0_Q5T7C0_HUMAN', 13, 21), ('tr_D6R9A6_D6R9A6_HUMAN', 13, 21), ('tr_Q5T7C4_Q5T7C4_HUMAN', 13, 21), ('tr_Q5T7C6_Q5T7C6_HUMAN', 13, 21), ('sp_P26583_HMGB2_HUMAN', 13, 21), ('gi_194688133_ref_NP_001124160.1_', 13, 21), ('gi_11321591_ref_NP_002120.1_', 13, 21), ('gi_194688135_ref_NP_001124161.1_', 13, 21), ('sp_B2RPK0_HGB1A_HUMAN', 13, 21), ('sp_P09429_HMGB1_HUMAN', 13, 21), ('gi_4504425_ref_NP_002119.1_', 13, 21)]	108	0.00056	1	9	9
65			[('tr_M0R0R9_M0R0R9_HUMAN', 246, 254), ('tr_E7EUG6_E7EUG6_HUMAN', 101, 109), ('tr_M0QXD6_M0QXD6_HUMAN', 102, 110), ('sp_P35269_T2FA_HUMAN', 186, 194), ('gi_156104891_ref_NP_002087.2_', 186, 194), ('tr_B7ZKR7_B7ZKR7_HUMAN', 688, 696), ('sp_Q13367_AP3B2_HUMAN', 720, 728), ('gi_34482047_ref_NP_004635.2_', 720, 728), ('tr_B7ZKS0_B7ZKS0_HUMAN', 739, 747)]	108	0.0015	3	11	9
16451			[('tr_C9JBF0_C9JBF0_HUMAN', 49, 56), ('tr_E9PC85_E9PC85_HUMAN', 120, 127), ('sp_Q5S007_LRRK2_HUMAN', 120, 127), ('gi_171846278_ref_NP_940980.3_', 120, 127)]	84	6.1	11	19	8
68			[('tr_A8K8G0_A8K8G0_HUMAN', 65, 70), ('sp_P51858-2_HDGF_HUMAN', 90, 95), ('gi_186928821_ref_NP_001119523.1_', 90, 95), ('sp_P51858_HDGF_HUMAN', 97, 102), ('gi_4758516_ref_NP_004485.1_', 97, 102), ('tr_Q5SZ07_Q5SZ07_HUMAN', 113, 118), ('gi_186928819_ref_NP_001119522.1_', 113, 118), ('##gi_397139321_ref_XP_003846480.1_', 123, 129), ('##tr_H0Y9Y3_H0Y9Y3_HUMAN', 47, 52), ('tr_B5MCN7_B5MCN7_HUMAN', 1123, 1128), ('##sp_Q9UMS6-2_SYNP2_HUMAN', 47, 52), ('##gi_193083183_ref_NP_597734.2_', 47, 52), ('sp_Q15788-2_NCOA1_HUMAN', 1274, 1279), ('gi_22538457_ref_NP_671756.1_', 1274, 1279), ('sp_Q15788-3_NCOA1_HUMAN', 1274, 1279), ('gi_22538459_ref_NP_671766.1_', 1274, 1279), ('sp_Q15788_NCOA1_HUMAN', 1274, 1279), ('gi_22538455_ref_NP_003734.3_', 1274, 1279)]	72	15.0	1	6	6
8261			[('tr_F6SBX2_F6SBX2_HUMAN', 578, 589), ('sp_Q9NSE4_SYIM_HUMAN', 650, 661), ('gi_46852147_ref_NP_060530.3_', 650, 661)]	144	8.1e-07	1	12	12
16454			[('sp_Q9Y5L4_TIM13_HUMAN', 28, 45), ('gi_11024700_ref_NP_036590.1_', 28, 45)]	216	2.1e-15	1	18	18
71			[('tr_B3KM87_B3KM87_HUMAN', 282, 292), ('sp_P43243-2_MATR3_HUMAN', 332, 342), ('gi_303227928_ref_NP_001181885.1_', 332, 342), ('tr_D6REM6_D6REM6_HUMAN', 620, 630), ('sp_P43243_MATR3_HUMAN', 620, 630), ('gi_62750354_ref_NP_954659.1_', 620, 630), ('gi_21626466_ref_NP_061322.2_', 620, 630), ('gi_303227924_ref_NP_001181883.1_', 620, 630), ('gi_303227926_ref_NP_001181884.1_', 620, 630), ('tr_A8MXP9_A8MXP9_HUMAN', 620, 630)]	96	0.22	3	13	10
8264			[('sp_Q96QK1_VPS35_HUMAN', 755, 768), ('gi_17999541_ref_NP_060676.2_', 755, 768)]	168	1.7e-08	7	20	14
16457			[('##sp_Q9HD90_NDF4_HUMAN', 217, 223), ('##gi_153792190_ref_NP_067014.2_', 217, 223)]	84	0.93	7	13	7
79			[('tr_H0YCE2_H0YCE2_HUMAN', 88, 100), ('tr_Q5TB25_Q5TB25_HUMAN', 124, 136), ('tr_Q5TB19_Q5TB19_HUMAN', 137, 149), ('tr_Q5TB20_Q5TB20_HUMAN', 208, 220), ('gi_210147571_ref_NP_001129951.1_', 208, 220), ('sp_Q9BTT0-2_AN32E_HUMAN', 215, 227), ('gi_210147569_ref_NP_001129950.1_', 215, 227), ('sp_Q9BTT0_AN32E_HUMAN', 256, 268), ('gi_13569879_ref_NP_112182.1_', 256, 268)]	132	2.3e-06	2	14	12
80			[('tr_B4E2T8_B4E2T8_HUMAN', 428, 439), ('sp_P27824_CALX_HUMAN', 536, 547), ('gi_10716563_ref_NP_001737.1_', 536, 547), ('gi_66933005_ref_NP_001019820.1_', 536, 547), ('tr_B4DGP8_B4DGP8_HUMAN', 571, 582)]	144	1.4e-06	1	12	12
81			[('tr_H7C137_H7C137_HUMAN', 118, 128), ('sp_P43487_RANG_HUMAN', 191, 201), ('gi_4506407_ref_NP_002873.1_', 191, 201)]	132	3.6e-06	1	11	11
16466			[('##tr_K7EID6_K7EID6_HUMAN', 31, 36), ('##tr_K7EPC5_K7EPC5_HUMAN', 31, 36), ('tr_A8MVE6_A8MVE6_HUMAN', 43, 50), ('##tr_F5H6C3_F5H6C3_HUMAN', 10, 15), ('##tr_F5H5Y7_F5H5Y7_HUMAN', 43, 48), ('##tr_Q5W149_Q5W149_HUMAN', 136, 141), ('tr_Q5TF55_Q5TF55_HUMAN', 147, 154), ('sp_Q8NE86-3_MCU_HUMAN', 250, 256), ('gi_398303805_ref_NP_001257609.1_', 250, 256), ('##tr_B8ZZR0_B8ZZR0_HUMAN', 5, 12), ('##tr_Q5SVY4_Q5SVY4_HUMAN', 112, 119), ('sp_Q8NE86-2_MCU_HUMAN', 278, 284), ('gi_398303803_ref_NP_001257608.1_', 278, 284), ('sp_Q8NE86_MCU_HUMAN', 299, 305), ('gi_24308400_ref_NP_612366.1_', 299, 305), ('##sp_Q9Y6F9_WNT6_HUMAN', 78, 83), ('##gi_16507239_ref_NP_006513.1_', 78, 83), ('sp_Q674R7-2_ATG9B_HUMAN', 138, 143), ('##sp_P49759_CLK1_HUMAN', 5, 12), ('##gi_67551261_ref_NP_004062.2_', 5, 12), ('sp_P30038-2_AL4A1_HUMAN', 103, 110), ('gi_238859541_ref_NP_001154976.1_', 103, 110), ('tr_D2D4A3_D2D4A3_HUMAN', 163, 170), ('##sp_P49759-3_CLK1_HUMAN', 5, 12), ('##gi_241666392_ref_NP_001155879.1_', 5, 12), ('##sp_Q8IZC4-2_RTKN2_HUMAN', 112, 119), ('##sp_O94818-2_NOL4_HUMAN', 424, 429), ('##gi_309951083_ref_NP_001185477.1_', 424, 429), ('##sp_Q05516-2_ZBT16_HUMAN', 445, 450), ('##tr_K7EQ17_K7EQ17_HUMAN', 462, 467), ('sp_P30038_AL4A1_HUMAN', 163, 170), ('gi_25777734_ref_NP_003739.2_', 163, 170), ('gi_25777736_ref_NP_733844.1_', 163, 170), ('##sp_O94818-3_NOL4_HUMAN', 526, 531), ('##gi_309951081_ref_NP_001185476.1_', 526, 531), ('##gi_309951079_ref_NP_001185475.1_', 462, 467), ('##sp_Q8IZC4_RTKN2_HUMAN', 215, 222), ('##gi_26190614_ref_NP_660350.2_', 215, 222), ('##sp_O94818_NOL4_HUMAN', 526, 531), ('##gi_148235600_ref_NP_003778.2_', 526, 531), ('##sp_Q05516_ZBT16_HUMAN', 568, 573), ('##gi_21359888_ref_NP_005997.2_', 568, 573), ('##gi_66932932_ref_NP_001018011.1_', 568, 573), ('##gi_378404903_ref_NP_001243727.1_', 547, 552), ('##sp_Q8IVL5_P3H2_HUMAN', 660, 665), ('##gi_27764882_ref_NP_060662.2_', 660, 665), ('tr_B9ZVT1_B9ZVT1_HUMAN', 821, 826), ('sp_Q674R7_ATG9B_HUMAN', 652, 657), ('gi_239582720_ref_NP_775952.4_', 652, 657), ('sp_Q8IXT5_RB12B_HUMAN', 941, 946), ('gi_118722349_ref_NP_976324.2_', 941, 946), ('##sp_Q96L42_KCNH8_HUMAN', 790, 795), ('##gi_27886667_ref_NP_653234.2_', 790, 795), ('sp_Q9C0D6_FHDC1_HUMAN', 426, 433), ('gi_145309324_ref_NP_203751.2_', 426, 433), ('sp_Q9P241_AT10D_HUMAN', 583, 588), ('gi_222352161_ref_NP_065186.3_', 583, 588), ('##sp_Q9UI33-2_SCNBA_HUMAN', 179, 184), ('sp_Q9NRJ4_TULP4_HUMAN', 1516, 1521), ('gi_55953100_ref_NP_064630.2_', 1516, 1521), ('##sp_Q9UI33-3_SCNBA_HUMAN', 526, 531), ('##sp_Q9UI33_SCNBA_HUMAN', 526, 531), ('##gi_115583667_ref_NP_054858.2_', 526, 531)]	72	5.2	3	8	6
83			[('sp_Q58FF7_H90B3_HUMAN', 217, 228), ('gi_431822406_ref_NP_001258900.1_', 190, 201), ('gi_431822408_ref_NP_001258901.1_', 228, 239), ('sp_P08238_HS90B_HUMAN', 238, 249), ('gi_431822401_ref_NP_001258898.1_', 238, 249), ('gi_20149594_ref_NP_031381.2_', 238, 249), ('gi_431822403_ref_NP_001258899.1_', 238, 249)]	144	7.7e-07	1	12	12
84			[('tr_D6RF44_D6RF44_HUMAN', 79, 85), ('tr_F5H6R6_F5H6R6_HUMAN', 23, 29), ('tr_H0YA96_H0YA96_HUMAN', 81, 87), ('tr_D6RAF8_D6RAF8_HUMAN', 177, 183), ('tr_H0Y8G5_H0Y8G5_HUMAN', 110, 116), ('sp_Q14103-4_HNRPD_HUMAN', 158, 164), ('gi_51477708_ref_NP_001003810.1_', 158, 164), ('tr_B4DTC3_B4DTC3_HUMAN', 125, 131), ('sp_Q14103-3_HNRPD_HUMAN', 177, 183), ('gi_14110414_ref_NP_002129.2_', 177, 183), ('sp_Q14103-2_HNRPD_HUMAN', 158, 164), ('gi_14110417_ref_NP_112737.1_', 158, 164), ('sp_Q14103_HNRPD_HUMAN', 177, 183), ('gi_14110420_ref_NP_112738.1_', 177, 183)]	84	0.16	1	7	7
8278			[('sp_P55072_TERA_HUMAN', 513, 524), ('gi_6005942_ref_NP_009057.1_', 513, 524)]	144	5.3e-07	1	12	12
87			[('tr_B7Z7A9_B7Z7A9_HUMAN', 112, 118), ('sp_P00558_PGK1_HUMAN', 140, 146), ('gi_4505763_ref_NP_000282.1_', 140, 146)]	84	1.1	1	7	7
8280			[('tr_H7C5W5_H7C5W5_HUMAN', 116, 127), ('tr_B0YJC5_B0YJC5_HUMAN', 209, 220), ('tr_B0YJC4_B0YJC4_HUMAN', 391, 402), ('sp_P08670_VIME_HUMAN', 391, 402), ('gi_62414289_ref_NP_003371.2_', 391, 402), ('sp_P41219_PERI_HUMAN', 387, 398), ('gi_21264345_ref_NP_006253.2_', 387, 398), ('sp_P41219-2_PERI_HUMAN', 387, 398)]	144	9.5e-08	1	12	12
16473			[('sp_P11021_GRP78_HUMAN', 141, 152), ('gi_16507237_ref_NP_005338.1_', 141, 152)]	144	7.4e-07	3	14	12
12303			[('tr_B4DQ51_B4DQ51_HUMAN', 310, 324), ('sp_P45954_ACDSB_HUMAN', 412, 426), ('gi_4501859_ref_NP_001600.1_', 412, 426)]	144	1.4e-06	4	18	14
16476			[('sp_Q9Y4K1_AIM1_HUMAN', 972, 982), ('gi_62988361_ref_NP_001615.1_', 972, 982)]	120	0.0022	1	12	11
8286			[('tr_E9PRN9_E9PRN9_HUMAN', 73, 78), ('##tr_J3KRX7_J3KRX7_HUMAN', 40, 47), ('##tr_H0YCG4_H0YCG4_HUMAN', 36, 43), ('##sp_Q01081-4_U2AF1_HUMAN', 90, 97), ('##gi_68800138_ref_NP_001020375.1_', 90, 97), ('tr_H0YJ95_H0YJ95_HUMAN', 70, 77), ('##sp_Q8WU68-3_U2AF4_HUMAN', 70, 77), ('##gi_94536809_ref_NP_001035515.1_', 70, 77), ('##tr_C9JEZ4_C9JEZ4_HUMAN', 89, 94), ('##sp_Q8WU68_U2AF4_HUMAN', 70, 77), ('##sp_Q01081_U2AF1_HUMAN', 90, 97), ('##sp_Q01081-2_U2AF1_HUMAN', 90, 97), ('##gi_5803207_ref_NP_006749.1_', 90, 97), ('##gi_68800128_ref_NP_001020374.1_', 90, 97), ('tr_G3V4Z6_G3V4Z6_HUMAN', 89, 96), ('##sp_Q9UKI2_BORG2_HUMAN', 127, 132), ('##gi_395627662_ref_NP_001257365.1_', 127, 132), ('##gi_395627666_ref_NP_001257367.1_', 127, 132), ('##gi_19923356_ref_NP_006440.2_', 127, 132), ('##gi_395627664_ref_NP_001257366.1_', 127, 132), ('tr_E9PIF8_E9PIF8_HUMAN', 178, 183), ('##sp_Q96IQ9_ZN414_HUMAN', 283, 288), ('##gi_226051591_ref_NP_115746.2_', 283, 288), ('##sp_Q96IQ9-2_ZN414_HUMAN', 361, 366), ('##gi_226051634_ref_NP_001139647.1_', 361, 366), ('##sp_P0CK96_S352B_HUMAN', 80, 85), ('##sp_P80365_DHI2_HUMAN', 220, 227), ('##gi_160707905_ref_NP_001104251.1_', 80, 85), ('##gi_119392083_ref_NP_000187.3_', 220, 227), ('sp_Q8IWV8-2_UBR2_HUMAN', 422, 427), ('gi_296317280_ref_NP_001171730.1_', 422, 427), ('sp_Q8N5H7-3_SH2D3_HUMAN', 188, 194), ('gi_216547769_ref_NP_001136003.1_', 188, 194), ('gi_216547779_ref_NP_001136004.1_', 188, 194), ('sp_Q9UM01_YLAT1_HUMAN', 355, 362), ('gi_186910308_ref_NP_001119578.1_', 355, 362), ('gi_186910306_ref_NP_001119577.1_', 355, 362), ('sp_Q9H6X5-2_CS044_HUMAN', 261, 267), ('tr_M0R2B3_M0R2B3_HUMAN', 261, 267), ('tr_Q96Q25_Q96Q25_HUMAN', 136, 141), ('sp_Q9H6X5_CS044_HUMAN', 261, 267), ('gi_14149902_ref_NP_115583.1_', 261, 267), ('sp_Q8N5H7-6_SH2D3_HUMAN', 382, 388), ('gi_216547801_ref_NP_001136006.1_', 382, 388), ('sp_Q8N5H7-5_SH2D3_HUMAN', 384, 390), ('gi_216547790_ref_NP_001136005.1_', 384, 390), ('sp_Q8N5H7-2_SH2D3_HUMAN', 385, 391), ('gi_216547763_ref_NP_005480.2_', 385, 391), ('tr_H7BYF1_H7BYF1_HUMAN', 107, 112), ('sp_Q14137_BOP1_HUMAN', 248, 253), ('gi_21327667_ref_NP_056016.1_', 248, 253), ('tr_E7EUN5_E7EUN5_HUMAN', 474, 480), ('sp_Q8N5H7-4_SH2D3_HUMAN', 474, 480), ('gi_356640213_ref_NP_001239263.1_', 474, 480), ('sp_Q8N5H7_SH2D3_HUMAN', 542, 548), ('gi_41281821_ref_NP_733745.1_', 542, 548), ('sp_O15016-2_TRI66_HUMAN', 700, 705), ('sp_O15016_TRI66_HUMAN', 702, 707), ('gi_209977097_ref_NP_055633.1_', 702, 707), ('tr_B5MCJ9_B5MCJ9_HUMAN', 700, 705), ('##sp_O15040-2_TCPR2_HUMAN', 1257, 1264), ('##gi_289547517_ref_NP_001166102.1_', 1257, 1264), ('##tr_E9PDH4_E9PDH4_HUMAN', 378, 385), ('##sp_O15040_TCPR2_HUMAN', 1401, 1408), ('##gi_289547515_ref_NP_055659.2_', 1401, 1408), ('sp_Q9ULI0-2_ATD2B_HUMAN', 826, 831), ('gi_334191697_ref_NP_001229267.1_', 826, 831), ('sp_Q9ULI0_ATD2B_HUMAN', 826, 831), ('gi_153792536_ref_NP_060022.1_', 826, 831), ('##sp_Q08AD1-2_CAMP2_HUMAN', 401, 408), ('##sp_Q08AD1-3_CAMP2_HUMAN', 401, 408), ('##gi_44955929_ref_NP_982284.1_', 401, 408), ('##sp_Q08AD1_CAMP2_HUMAN', 401, 408), ('tr_J3QTL0_J3QTL0_HUMAN', 912, 917), ('sp_Q8IWV8-4_UBR2_HUMAN', 422, 427), ('sp_Q9Y5Y9_SCNAA_HUMAN', 15, 23), ('gi_110835710_ref_NP_006505.2_', 15, 23), ('##sp_Q9Y2I7_FYV1_HUMAN', 1036, 1043), ('##gi_121583483_ref_NP_055855.2_', 1036, 1043), ('sp_Q8IYW2_TTC40_HUMAN', 912, 917), ('gi_359385708_ref_NP_001186978.2_', 912, 917), ('gi_226246554_ref_NP_001139669.1_', 373, 378)]	72	5.3	5	10	6
8289			[('tr_Q5T6H7_Q5T6H7_HUMAN', 371, 378), ('sp_Q9NQW7-2_XPP1_HUMAN', 418, 425), ('sp_Q9NQW7_XPP1_HUMAN', 442, 449), ('tr_G8JLB2_G8JLB2_HUMAN', 461, 468), ('gi_264681565_ref_NP_001161076.1_', 461, 468), ('sp_Q9NQW7-3_XPP1_HUMAN', 485, 492), ('gi_264681563_ref_NP_065116.3_', 485, 492)]	96	0.0099	1	8	8
8290			[('sp_Q96Q06_PLIN4_HUMAN', 489, 500), ('gi_122937195_ref_NP_001073869.1_', 489, 500), ('sp_Q96Q06-2_PLIN4_HUMAN', 489, 500)]	96	0.28	8	18	10
16483			[('tr_Q5T8U3_Q5T8U3_HUMAN', 101, 108), ('sp_P62424_RL7A_HUMAN', 74, 81), ('gi_4506661_ref_NP_000963.1_', 74, 81), ('sp_Q99698-2_LYST_HUMAN', 1948, 1955), ('sp_Q99698_LYST_HUMAN', 1948, 1955), ('gi_54292123_ref_NP_000072.2_', 1948, 1955)]	84	1.1	1	9	8
8292			[('tr_Q5T6H7_Q5T6H7_HUMAN', 351, 370), ('sp_Q9NQW7-2_XPP1_HUMAN', 398, 417), ('sp_Q9NQW7_XPP1_HUMAN', 422, 441), ('tr_G8JLB2_G8JLB2_HUMAN', 441, 460), ('gi_264681565_ref_NP_001161076.1_', 441, 460), ('sp_Q9NQW7-3_XPP1_HUMAN', 465, 484), ('gi_264681563_ref_NP_065116.3_', 465, 484)]	204	1.8e-13	1	20	19
9574			[('sp_Q15149-7_PLEC_HUMAN', 2861, 2875), ('gi_41322910_ref_NP_958783.1_', 2861, 2875), ('sp_Q15149-8_PLEC_HUMAN', 2871, 2885), ('gi_41322908_ref_NP_958781.1_', 2871, 2885), ('sp_Q15149-9_PLEC_HUMAN', 2879, 2893), ('gi_41322912_ref_NP_958780.1_', 2879, 2893), ('sp_Q15149-4_PLEC_HUMAN', 2893, 2907), ('sp_Q15149-5_PLEC_HUMAN', 2893, 2907), ('gi_41322919_ref_NP_958784.1_', 2893, 2907), ('gi_41322923_ref_NP_958786.1_', 2893, 2907), ('sp_Q15149-6_PLEC_HUMAN', 2897, 2911), ('gi_41322914_ref_NP_958785.1_', 2897, 2911), ('sp_Q15149-3_PLEC_HUMAN', 2916, 2930), ('sp_Q15149-2_PLEC_HUMAN', 2920, 2934), ('gi_47607492_ref_NP_000436.2_', 2920, 2934), ('sp_Q15149_PLEC_HUMAN', 3030, 3044), ('gi_41322916_ref_NP_958782.1_', 3030, 3044)]	96	1.2	2	16	12
